
    <!-- #eeNCLUDE FILE="bsppcaxishead1.asp" -->
"Motor Vehicle Loans - PBS"

" ","2008"," "," "," ","2009"," "," "," ","2010"," "," "," ","2011"," "," "," ","2012"," "," "," ","2013"," "," "," ","2014"," "," "," ","2015"," "," "," ","2016"," "," "," ","2017"," "," "," "
"A.7.b.2 Universal and Commercial Banks",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"A.7.b.2.1 Motor Vehicle Loans (MVL)",71.317,73.481,71.321,72.228,75.316,79.737,86.598,90.310,95.105,100.816,108.647,113.614,120.179,124.217,128.755,135.003,140.496,146.795,151.332,156.285,163.621,172.538,177.223,182.249,190.095,202.286,212.494,224.367,238.341,252.740,267.306,287.449,305.993,329.490,344.676,367.404,386.353,..,..,..
"A.7.b.2.1.1  Performing",67.398,69.837,67.756,68.774,71.460,75.760,82.173,85.679,90.368,96.013,103.774,108.403,114.949,118.828,123.172,129.274,134.533,140.484,144.590,149.212,156.409,165.009,169.345,174.858,182.168,193.850,203.454,214.939,227.345,242.011,256.013,275.634,292.659,315.087,330.461,353.303,371.390,..,..,..
"A.7.b.2.1.2  Non-Performing",3.919,3.644,3.565,3.454,3.855,3.977,4.425,4.631,4.736,4.803,4.873,5.211,5.230,5.389,5.583,5.729,5.963,6.311,6.742,7.073,7.212,7.528,7.878,7.391,7.926,8.436,9.040,9.428,10.996,10.729,11.294,11.815,13.333,14.403,14.216,14.101,14.963,..,..,..
"A.7.b.2.2 Total Loan Portfolio (TLP), net of Interbank Loans (IBL)",2044.339,2219.730,2275.420,2489.834,2439.751,2453.513,2408.473,2635.797,2456.246,2626.514,2672.627,2877.208,2856.166,3140.176,3144.098,3393.392,3362.866,3571.328,3607.465,3858.891,3866.924,4018.313,4235.452,4501.177,4607.228,4828.642,5043.338,5397.063,5364.885,5520.895,5687.279,6128.536,6152.051,6432.054,6636.496,7198.919,7260.080,..,..,..
"A.7.b.2.3 Total Non-Performing Loans (NPL)",120.550,121.043,122.422,117.230,120.286,119.968,119.955,115.624,120.422,126.042,124.431,121.390,123.110,120.689,123.157,119.771,124.761,120.500,122.662,119.864,119.599,122.812,123.709,108.568,110.742,115.501,117.272,113.945,119.494,117.018,118.537,115.955,124.685,127.019,128.364,123.910,130.635,..,..,..
"A.7.b.2.4  MVL to TLP (%)",3.488,3.310,3.134,2.901,3.087,3.250,3.596,3.426,3.872,3.838,4.065,3.949,4.208,3.956,4.095,3.978,4.178,4.110,4.195,4.050,4.231,4.294,4.184,4.049,4.126,4.189,4.213,4.157,4.443,4.578,4.700,4.690,4.974,5.156,5.194,5.104,5.322,..,..,..
"A.7.b.2.5  Non-Performing MVL to Total NPL (%)",3.251,3.011,2.912,2.947,3.205,3.315,3.689,4.005,3.933,3.811,3.916,4.293,4.249,4.465,4.533,4.783,4.779,5.237,5.496,5.901,6.030,6.130,6.368,6.808,7.158,7.304,7.708,8.274,9.202,9.169,9.527,10.189,10.694,11.339,11.074,11.380,11.454,..,..,..
"A.7.b.2.6  Non-Performing MVL to TLP (%)",0.192,0.164,0.157,0.139,0.158,0.162,0.184,0.176,0.193,0.183,0.182,0.181,0.183,0.172,0.178,0.169,0.177,0.177,0.187,0.183,0.187,0.187,0.186,0.164,0.172,0.175,0.179,0.175,0.205,0.194,0.199,0.193,0.217,0.224,0.214,0.196,0.206,..,..,..
"A.7.b.2.7  Non-Performing MVL to MVL (%)",5.495,4.959,4.998,4.783,5.119,4.988,5.110,5.128,4.980,4.764,4.485,4.587,4.352,4.338,4.336,4.243,4.244,4.299,4.455,4.526,4.408,4.363,4.445,4.055,4.170,4.170,4.254,4.202,4.613,4.245,4.225,4.110,4.357,4.343,4.124,3.838,3.873,..,..,..
"A.7.b.3 Thrift Banks 1/",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"A.7.b.3.1 Motor Vehicle Loans (MVL)",5.263,5.602,5.850,6.390,6.436,6.483,4.029,4.336,4.694,4.981,4.085,4.180,4.218,4.166,4.198,4.372,4.582,3.781,3.740,3.829,3.798,3.755,3.957,4.147,4.349,4.841,5.830,6.707,6.356,6.713,16.357,16.567,17.245,17.340,19.710,21.081,22.539,..,..,..
"A.7.b.3.1.1  Performing",4.921,5.205,5.484,6.020,6.045,6.040,3.774,4.034,4.397,4.714,3.886,3.945,3.975,3.906,3.934,4.112,4.313,3.533,3.450,3.479,3.390,3.293,3.597,3.764,3.957,4.453,5.335,6.165,5.787,6.089,14.063,14.409,15.141,15.193,18.106,19.058,20.607,..,..,..
"A.7.b.3.1.2  Non-Performing",0.342,0.397,0.366,0.370,0.391,0.443,0.255,0.302,0.297,0.267,0.199,0.235,0.243,0.260,0.264,0.260,0.269,0.248,0.289,0.350,0.408,0.462,0.360,0.384,0.392,0.388,0.494,0.542,0.569,0.624,2.294,2.158,2.104,2.148,1.603,2.023,1.932,..,..,..
"A.7.b.3.2 Total Loan Portfolio (TLP), net of Interbank Loans (IBL)",102.656,105.814,118.524,117.605,126.872,134.869,113.661,121.233,119.789,114.068,109.345,115.238,114.587,114.828,121.869,130.149,135.059,130.064,132.680,134.630,120.311,127.592,129.072,137.354,143.683,114.800,144.322,152.004,125.512,139.660,144.054,148.046,147.068,151.967,162.922,176.831,179.183,..,..,..
"A.7.b.3.3 Total Non-Performing Loans (NPL)",12.834,12.681,13.070,15.123,16.732,16.484,15.646,15.170,16.316,14.104,14.414,14.767,11.746,12.273,12.127,12.262,12.593,10.460,11.312,11.815,12.091,12.473,12.947,12.612,12.921,9.671,11.157,10.412,8.619,10.770,10.943,10.309,11.610,12.495,12.069,12.090,13.377,..,..,..
"A.7.b.3.4  MVL to TLP (%)",5.127,5.295,4.936,5.434,5.073,4.807,3.545,3.577,3.919,4.367,3.736,3.627,3.681,3.628,3.445,3.359,3.392,2.907,2.819,2.844,3.157,2.943,3.066,3.019,3.027,4.217,4.039,4.413,5.064,4.807,11.355,11.190,11.726,11.410,12.098,11.922,12.579,..,..,..
"A.7.b.3.5  Non-Performing MVL to Total NPL (%)",2.664,3.132,2.801,2.446,2.337,2.687,1.631,1.993,1.819,1.890,1.380,1.591,2.073,2.123,2.179,2.117,2.133,2.372,2.559,2.959,3.374,3.706,2.781,3.042,3.032,4.009,4.430,5.205,6.603,5.796,20.960,20.932,18.125,17.188,13.285,16.732,14.442,..,..,..
"A.7.b.3.6  Non-Performing MVL to TLP (%)",0.333,0.375,0.309,0.315,0.308,0.328,0.225,0.249,0.248,0.234,0.182,0.204,0.212,0.227,0.217,0.199,0.199,0.191,0.218,0.260,0.339,0.362,0.279,0.279,0.273,0.338,0.342,0.357,0.453,0.447,1.592,1.458,1.431,1.413,0.984,1.144,1.078,..,..,..
"A.7.b.3.7  Non-Performing MVL to MVL (%)",6.497,7.090,6.258,5.789,6.075,6.833,6.334,6.974,6.324,5.352,4.870,5.622,5.772,6.252,6.295,5.937,5.861,6.562,7.739,9.132,10.742,12.309,9.097,9.251,9.009,8.008,8.479,8.080,8.953,9.298,14.023,13.026,12.202,12.385,8.135,9.596,8.571,..,..,..


<!--</div>
<div id="footer">
<!-- #eINCLUDE FILE="bsppcaxisfoot.asp" -->

</div>
